ID,NOME,RISCHIO_EROSIONE,DATA_ISCRIZIONE,AMBITO_LOCALE,MODICA_QUANTITA,SEZIONE_REGISTRO,TIPOLOGIA_RISORSA,FAMIGLIA,GENERE,SPECIE,NOME_COMUNE,SIGNIFICATO_NOME,SINONIMI,NOME_DIALETTALE,LUOGO_CONSERVAZIONE,SCHEDA_PORTALE
48,"Ape ligustica, popolazione autoctona umbra",Elevato,01/07/2019,Regione Umbria,1 sciame con regina,Animale,Insetti,Apidae,Apis,A. mellifera (L.),"Ape ligustica, popolazione autoctona umbra","Ape da miele con particolare ligula di 6,359 mm","Ape italiana autoctona, Ape latina, Ape domestica, Ape da miele, Ape",-,-,https://biodiversita.umbria.parco3a.org/risorsa/ape-ligustica-popolazione-autoctona-umbra/
49,Vitigno Tostolello,Elevato,01/07/2019,Comune di Amelia,10 barbatelle,Vegetale,Arborea,Vitaceae,Vitis,V. vinifera L.,Vitigno Tostolello,-,-,-,Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/vitigno-tostolello/
50,Vitigno Dolciame,Medio alto,01/07/2019,"Comuni di Città di Castello, Umbertide, Montone, Citerna, San Giustino Umbro, Monte Santa Maria Tiberina, Piegaro, Perugia",10 barbatelle,Vegetale,Arborea,Vitaceae,Vitis,V. vinifera L.,Vitigno Dolciame,Nell’areale di Città di Castello tale termine era genericamente usato per indicare i vitigni a bacca bianca con sapore gradevole e dolce che maturavano prima del Trebbiano toscano,"Dolciame (Gubbio), Malfiore (Città di Castello), Uva Dolce (Città di Castello)",-,Campo Collezione del DSA3 a Monticchio di Deruta (PG),https://biodiversita.umbria.parco3a.org/risorsa/vitigno-dolciame/
51,Vitigno Cornetta,Elevato,01/07/2019,"Comuni di Cannara, Bettona, Foligno",10 barbatelle,Vegetale,Arborea,Vitaceae,Vitis,V. vinifera L.,Vitigno Cornetta,"Per la somiglianza dell'acino ad un piccolo corno, data la sua forma ellittica leggermente arcuata.",-,-,Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/vitigno-cornetta/
52,Pollo Livorno argentata,Minacciata di abbandono,01/07/2019,Regione Umbria,1 maschio e 5 femmine,Animale,Avicoli,Phasianidae,Gallus,G. gallus L,Pollo Livorno argentata,-,-,-,"Sezione Sperimentale Avicunicola, DSA3-Università di Perugia, loc. Vestricciano, Ponte della Pietra (PG); Centro Avicolo Scuola Agraria 'Ciuffelli' di Todi (PG)",https://biodiversita.umbria.parco3a.org/risorsa/pollo-livorno-argentata/
53,"Melo Limoncella, accessione di Cascia",Elevato,01/07/2019,Regione Umbria,10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,"Melo Limoncella, accessione di Cascia","I frutti ricordano, per la forma, il colore ed anche nel sapore asprigno, il limone.",-,-,Campo collezione presso 3A-PTA a Todi (PG),https://biodiversita.umbria.parco3a.org/risorsa/melo-limoncella-accessione-di-cascia/
54,Trota Fario popolazione autoctona dell’Appennino umbro marchigiano,Elevato,09/12/2019,"Comuni di Arrone, Campello sul Clitunno, Cascia, Cerreto di Spoleto, Ferentillo, Montefranco, Norcia, Sant’Anatolia di Narco, Vallo di Nera",Non applicabile,Animale,Ittica,Salmonidae,Salmo,S. cettii Rafinesque,Trota Fario popolazione autoctona dell’Appennino umbro marchigiano,Si riferisce alla presenza biogeografica della specie nei corsi d’acqua presenti nel Bacino del Mediterraneo,-,-,Centro Ittiogenico Regionale di Borgo Cerreto (PG).,https://biodiversita.umbria.parco3a.org/risorsa/trota-fario-popolazione-autoctona-dellappennino-umbro-marchigiano/
55,Vite Moscato di Colle di Nocera Umbra,Elevato,09/12/2019,Comune di Nocera Umbra,10 barbatelle,Vegetale,Arborea,Vitaceae,Vitis,V. vinifera L.,Vite Moscato di Colle di Nocera Umbra,"Fa riferimento alla Frazione di Colle, nel Comune di Nocera Umbra, dove un tempo il vitigno era ampiamente coltivato",-,-,Campo collezione presso 3A-PTA a Todi (PG); Campo Collezione del DSA3 a Monticchio di Deruta (PG),https://biodiversita.umbria.parco3a.org/risorsa/vitigno-moscato-di-colle-di-nocera-umbra/
56,Fico Cuore,Elevato,09/12/2019,Comune di Amelia,10 marze,Vegetale,Arborea,Moraceae,Ficus,F. carica L.,Fico Cuore,Discende dalla forma del frutto che ricorda quella di un cuore,"Fico del Cuore, Centro Italia (Gallesio, 1839); Rubado, Robado in Liguria (Gallesio, 1839)",-,Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/fico-cuore/
57,Mela Oleosa,Elevato,09/12/2019,Regione Umbria,10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,Mela Oleosa,"Legato alla caratteristica dei frutti di presentare una porzione vitrescente del frutto, che interessa buccia e polpa, che rassomiglia ad un macchia d’olio",-,-,Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG),https://biodiversita.umbria.parco3a.org/risorsa/mela-oleosa/
58,Pomodoro Francescano,Elevato,09/12/2019,Regione Umbria,40 semi,Vegetale,Erbacea,Solanaceae,Solanum,S. lycopersicum L.,Pomodoro Francescano,-,-,-,"Banca del germoplasma regionale di semi di specie erbacee, S. Andrea D’Agliano (PG) Banca del germoplasma dell’isola Polvese (PG), gestita da ARPA Umbria Casa dei Semi del Trasimeno, Castiglione del Lago (PG)",https://biodiversita.umbria.parco3a.org/risorsa/pomodoro-francescano/
59,Fagiolo Morone di Macenano,Elevato,29/06/2020,"Terreni lungo il tratto del Fiume Nera che va dal ponte di Terria alla loc. Le Prata, comprendendo gli abitati di Macenano, Sambucheto e Terria nel Comune di Ferentillo (TR)",200 grammi,Vegetale,Erbacea,Fabaceae,Phaseolus,P. vulgaris L.,Fagiolo Morone di Macenano,Per il colore del seme,Fagiolo de La Valle (esternamente all’areale di produzione); Fagiolo de lu mete (fagiolo della mietitura; all’interno dell’ambito locale),-,Banche regionali dei semi a S. Andrea d’Agliano (DSA3 Perugia) e a Pantalla di Todi (3APTA),https://biodiversita.umbria.parco3a.org/risorsa/fagiolo-morone-di-macenano/
